,rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
782,5129,1590,0.0,1,350,3,1.0,96,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
789,4954,3500,1.0,1,1135,4,1.0,86,0,0,1,1,1,1,0,0,Bedford-Stuyvesant,Brooklyn
794,10338,2250,0.0,1,500,13,1.0,116,1,0,0,0,0,0,0,0,Cobble Hill,Brooklyn
798,1455,5860,2.0,2,1072,3,1.0,116,1,0,0,0,0,0,0,0,DUMBO,Brooklyn
811,3228,1900,2.0,1,700,5,1.0,106,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
818,8950,1695,1.0,1,798,4,1.0,59,1,0,0,0,0,0,0,0,Gravesend,Brooklyn
819,8171,3700,2.0,1,990,6,1.0,5,0,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
822,9356,3400,3.0,2,1500,4,1.0,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
830,2117,2550,2.0,1,900,7,1.0,88,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
833,9174,2600,1.0,1,900,6,1.0,117,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
835,4943,3295,2.0,2,1000,9,1.0,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
838,6993,2395,3.0,1,950,4,1.0,109,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
845,3243,1846,2.0,1,900,5,1.0,106,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
846,5715,2395,3.0,1,950,4,1.0,109,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
854,8199,2500,3.0,1,1000,1,1.0,76,0,0,0,0,0,0,0,0,Sunset Park,Brooklyn
866,10532,1875,0.0,1,500,7,1.0,116,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
871,10657,2400,2.0,1,700,3,1.0,85,0,0,0,0,0,0,0,0,Windsor Terrace,Brooklyn
890,1644,3000,3.0,2,1150,11,1.0,12,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
916,10280,2200,1.0,1,700,4,1.0,106,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
919,5785,4600,2.0,2,1463,4,1.0,8,0,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
920,8832,4350,2.0,2,2200,43,1.0,10,0,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
924,8477,1925,1.0,1,860,2,1.0,12,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
929,10132,3295,2.0,1,950,2,1.0,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
931,5862,4395,4.0,3,1200,5,1.0,85,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
938,8836,3241,1.0,1,672,6,1.0,2,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
949,2458,2700,3.0,1,900,5,1.0,106,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
959,6611,3500,2.0,1,850,2,1.0,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
968,10622,3375,2.0,1,1200,3,1.0,11,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
985,3747,4700,3.0,2,1600,4,1.0,85,0,0,0,0,0,0,0,0,Prospect Heights,Brooklyn
989,8086,2300,2.0,1,750,3,1.0,85,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
990,9905,1600,0.0,1,500,5,1.0,115,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
998,9700,1795,2.0,1,750,5,1.0,85,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
1009,10286,3750,3.0,2,1531,1,1.0,10,0,0,1,1,1,1,0,0,Crown Heights,Brooklyn
1010,9169,4000,2.0,1,1080,5,1.0,117,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
